EVENT_ID,TIME_STAMP,TYPE_DESCRIPTION,ONSTREET,DIRECTION,LAT,LONG
48,2013-10-03:15:13,Accident-property damage,405,0,33.688905,-117.918184
306,2013-10-03:15:30,Accident-property damage,405,0,33.690904,-117.92332
2264,2013-10-03:16:02,Accident-no details,405,0,34.975086,-118.383617
202,2013-10-03:16:03,Accident-property damage,405,0,34.975086,-118.383617
2269,2013-10-03:16:04,Accident-property damage,405,1,34.046958,-118.446773
2269,2013-10-03:16:04,Accident-property damage,405,1,34.055739,-118.452239
78,2013-10-03:16:55,Accident-property damage,405,1,33.746047,-118.007047
375,2013-10-03:16:56,Accident-property damage,405,1,33.746047,-118.007047
2659,2013-10-03:17:36,Accident-property damage,405,1,33.813428,-118.167665
245,2013-10-03:17:37,Accident-property damage,405,1,33.813428,-118.167665
2661,2013-10-03:17:38,Accident-property damage,405,1,34.046958,-118.446773
407,2013-10-03:18:07,Accident-no details,405,0,33.6828,-117.856863
97,2013-10-03:18:09,Accident-no details,405,0,33.6828,-117.856863
2929,2013-10-03:18:49,Accident-no details,405,0,34.072786,-118.466447
2956,2013-10-03:18:53,Hit and Run-no injuries,405,1,34.031657,-118.426656
2956,2013-10-03:18:53,Hit and Run-no injuries,405,1,34.038994,-118.439912
2980,2013-10-03:19:02,Accident-no details,405,1,34.024975,-118.42867
2981,2013-10-03:19:04,Accident-property damage,405,1,34.038994,-118.439912
3001,2013-10-03:19:09,Accident-no details,405,1,34.046958,-118.446773
3077,2013-10-03:19:26,Hit and Run-no injuries,405,0,34.218169,-118.473109
3150,2013-10-03:19:37,Accident-property damage,405,1,34.032964,-118.435738
3174,2013-10-03:19:46,Accident-property damage,405,1,34.032964,-118.435738
269,2013-10-03:19:48,Accident-property damage,405,1,34.035478,-118.438072
3179,2013-10-03:19:49,Accident-property damage,405,1,34.035478,-118.438072
3207,2013-10-03:19:54,Hit and Run-no injuries,405,1,33.81889,-118.191284
3291,2013-10-03:20:18,Accident-property damage,405,1,34.005972,-118.413666
3292,2013-10-03:20:21,Accident-property damage,405,0,34.088608,-118.475191
3308,2013-10-03:20:25,Accident-ambulance rolling,405,0,34.073173,-118.465701
3567,2013-10-03:21:48,Accident-no details,405,1,34.00293,-118.411254
3567,2013-10-03:21:48,Accident-no details,405,1,33.987765,-118.399247
3576,2013-10-03:21:48,Accident-ambulance rolling,405,0,34.077319,-118.469945
3586,2013-10-03:21:50,Accident-ambulance rolling,405,1,34.09662,-118.477173
3616,2013-10-03:21:59,Accident-property damage,405,0,34.235589,-118.472957
3616,2013-10-03:21:59,Accident-property damage,405,0,34.265892,-118.472025
3620,2013-10-03:22:00,Accident-no details,405,0,34.265239,-118.472021
3624,2013-10-03:22:00,Accident-no details,405,0,34.267114,-118.472023
3726,2013-10-03:22:29,Hit and Run-no injuries,405,0,34.047022,-118.446575
3769,2013-10-03:22:47,Accident-ambulance rolling,405,0,34.055686,-118.451951
3997,2013-10-03:23:55,Accident-property damage,405,1,33.825733,-118.241778
328,2013-10-04:00:00,Accident-no details,405,0,33.651117,-117.748768
